src_category,generic_category,src_vendor,comments,generic categories,examples
Digital TV Receiver,Media/TV,['wistron neweb'],,,
Digital Video Recorder (DVR),Media/TV,['arris'],,,
Dimmer,Home Automation,['belkin'],,,
Dimmer Switch,Home Automation,['leviton' 'idevices'],,,
Dishwasher,Home Appliance ,['lg' 'miele' 'samsung'],,,
Door Lock,Home Automation,['koogeek'],,,
Doorbell,Surveillance,['skybell' 'ring' 'wyze' 'nest' 'hikvision'],,,
Doorbell Camera,Surveillance,['ring' 'skybell' 'simplisafe'],,,
E-Reader,Mobile Device ,['amazon'],,,
Echo Dot,Voice Assistant,['amazon'],,,
Echo Show,Voice Assistant,['amazon'],,,
Environmental Monitor,Generic IoT,['ihome' 'netatmo'],,,
Environmental Sensor,Generic IoT,['netatmo'],,,
Ethernet Extender,Router,['tplink'],,,
Ethernet Switch,Router,['tplink'],,,
FRITZ!Box,Router,['avm'],,,
FRITZ!Powerline 1260E,Router,['avm'],,,
FRITZ!Powerline 546E,Router,['avm'],,,
FRITZ!WLAN Repeater 1750E,Router,['avm'],,,
FRITZ!WLAN Repeater DVB-C,Router,['avm'],,,
Fritzbox,Router,['avm'],,,
Frontier Silicon,Media/TV,['frontier silicon'],,,
Game Console,Game Console,['microsoft' 'sony' 'nvidia'],,,
Gaming Console,Game Console,['microsoft' 'sony' 'wistron neweb' 'spotify' 'nvidia'],drop spotify,,
Garage Door Controller,Home Automation,['chamberlain'],,,
Garage Door Opener,Home Automation,['chamberlain'],,,
Google Cast,Media/TV,"['vizio' 'google' 'nvidia' 'jbl' 'sony' 'onkyo' 'amazon' 'apple' 'freebox'
 'raspberry-pi' 'xiaomi' 'toshiba' 'insignia' 'microsoft' 'nintendo']",raspberry-pi > computer,,
Google Cast & Spotify Connect,Media/TV,['google' 'nvidia'],,,
Google Cast Group,Media/TV,['google'],,,
Google Cast and HomeKit,Media/TV,['google' 'vizio'],,,
Google Cast and Homekit,Media/TV,['vizio'],,,
Google Cast and Plex Media Server,Media/TV,['nvidia'],,,
Google Cast and Spotify Connect,Media/TV,['sony' 'onkyo'],,,
"Google Cast, Homekit",Media/TV,['vizio'],,,
"Google Cast, Spotify Connect",Media/TV,['nvidia'],,,
Google Home,Voice Assistant,['google'],,,
Google Home Hub,Voice Assistant,['google'],,,
Google Home Mini,Voice Assistant,['google'],,,
Google Nest Hub,Voice Assistant,['google'],,,
Google_Cast,Media/TV,['google'],,,
Google_cast,Media/TV,['google'],,,
HDHomeRun PRIME,Media/TV,['silicondust'],,,
HP Printer,Work Appliance,['apple' 'hp' 'raspberry-pi'],raspberry-pi? Computer,,
HTPC (Home Theater Personal Computer),Media/TV,['asrock'],,,
Harmony,Home Automation,['logitech'],,,
Harmony Hub,Home Automation,['logitech' 'samsung'],,,
Heater,Home Appliance ,['belkin' 'sonos'],,,
HiFi System,Media/TV,['yamaha'],,,
Hikvision,Surveillance,['hikvision'],,,
Home Assistant,Home Automation,['home' 'homeassistant' 'raspberry-pi'],raspberry-pi? Computer,,
Home Assistant Bridge,Home Automation,['home'],,,
Home Automation,Home Automation,['raspberry-pi' 'telldus' 'openhab' 'home assistant' 'home'],,,
Home Automation Bridge,Home Automation,['soma'],,,
Home Automation Controller,Home Automation,['raspberry-pi' 'telldus'],,,
Home Automation Device,Home Automation,['home' 'raspberry-pi' 'logitech'],,,
Home Automation Gateway,Home Automation,['fibaro'],,,
Home Automation Hub,Home Automation,"['eq3' 'ecobee' 'raspberry-pi' 'home assistant' 'lutron' 'homebridge'
 'home' 'logitech' 'hubitat']",,,
Home Automation System,Computer,['raspberry-pi'],,,
Home Server,Computer,['microsoft' 'asus' 'hp'],,,
Home Theater Receiver,Media/TV,['denon'],,,
Home Theatre Receiver,Media/TV,['denon' 'pioneer' 'yamaha'],,,
HomeAssistant iOS,Voice Assistant,['apple'],,,
HomeBridge,Home Automation,['homebridge'],,,
HomeKit,Home Automation,['apple' 'lifx' 'raspberry-pi' 'belkin'],"apple homeKit? HomePod/Mini > voice assistant
raspberry-pi? Computer",,
HomeKit Bridge,Home Automation,['philips'],,,
HomeKit Controller,Home Automation,['homebridge'],,,
HomeKit Hub,Home Automation,['eve' 'apple'],,,
Homebridge Server,Computer,['apple'],,,
Homekit,Home Automation,"['belkin' 'philips' 'idev' 'honeywell' 'lifx' 'netatmo' 'bosch' 'tado'
 'rachio' 'apple' 'lightwave' 'dlink' 'soma' 'lutron' 'leviton'
 'chamberlain' 'koogeek' 'raspberry-pi' 'ihome' 'vocol' 'idevices' 'eve'
 'vizio' 'tplink' 'netgear' 'mysa' 'connect' 'sensi' 'logi' 'ecobee' 'myq'
 'parce' 'openhab' 'nanoleaf' 'mystrom' 'neeo' 'synology' 'rach'
 'rainmachine' 'eufy' 'brilliant' 'eton' 'overkiz']","change vizio to Media/TV
change rachio to Generic-IoT
discard rach",,
Homekit Bridge,Media/TV,['logi' 'plex'],,,
Humidifier,Home Appliance ,['belkin'],,,
IGD,Router,['apple' 'netgear'],,,
IKEA TRADFRI,Home Automation,['netgear' 'ikea'],,,
IP Camera,Surveillance,['dlink' 'raspberry-pi' 'samsung'],,,
IPTV Box,Media/TV,['apple'],,,
Indoor Camera,Surveillance,['belkin'],,,
Internet Gateway Device,Router,['apple' 'google' 'tplink'],,,
Internet Gateway Device (IGD),Router,['avm'],,,
Internet Radio,Media/TV,['bose' 'logitech' 'grace digital'],,,
InternetGatewayDevice,Router,"['askey' 'apple' 'netgear' 'google' 'arcadyan' 'tplink' 'avm' 'ring'
 'microsoft']",,,
IoT Bridge,Home Automation,['philips' 'ikea' 'raspberry-pi' 'lutron' 'sonos'],change sonos to Media/TV,,
IoT Gateway,Home Automation,['ikea' 'philips' 'microsoft'],Change Microsoft? App running on a PC?,,
IoT Hub,Home Automation,['philips' 'ikea' 'wink'],,,
IoT Sensor,Generic IoT,['apple'],,,
IoT Tablet,Mobile Device ,['microsoft'],,,
Irrigation Controller,Generic IoT,['rachio'],,,
Kodi,Media/TV,['amazon' 'libreelec' 'kodi'],,,
LG Smart TV,Media/TV,['lg'],,,
LIFX A19,Home Automation,['lifx'],,,
LIFX BR30,Home Automation,['lifx'],,,
LIFX Beam,Home Automation,['lifx'],,,
LIFX Candle Color,Home Automation,['lifx'],,,
LIFX GU10,Home Automation,['lifx'],,,
LIFX Mini,Home Automation,['lifx'],,,
LIFX Mini D,Home Automation,['lifx'],,,
LIFX Mini W,Home Automation,['lifx'],,,
LIFX Pls A19,Home Automation,['lifx'],,,
LIFX Tile,Home Automation,['lifx'],,,
LIFX Z,Home Automation,['lifx'],,,
Laptop,Computer,['microsoft' 'lenovo' 'google' 'dell' 'apple' 'intel' 'samsung' 'toshiba'],,,
Laptop Computer,Computer,['apple' 'asus'],,,
Light,Home Automation,['lifx'],,,
Light Bulb,Home Automation,['yeelight' 'tplink' 'philips' 'lifx' 'xiaomi' 'vocol'],,,
Light Bulb Coordinator,Home Automation,['lutron'],,,
Light Controller,Home Automation,['belkin' 'philips'],,,
Light Strip,Home Automation,['lifx'],,,
Light Switch,Home Automation,['tplink' 'leviton' 'belkin' 'idevices' 'mystrom' 'idevice' 'philips'],,,
Light Switch Bridge,Home Automation,['philips'],,,
LightSwitch,Home Automation,['belkin' 'apple'],Apple Light Switch?,,
Lightbulb,Home Automation,['lifx' 'philips' 'koogeek'],,,
Lightbulb Coordinator,Home Automation,['philips'],,,
Lighting,Home Automation,['lifx' 'philips' 'xiaomi'],,,
Lighting Bridge,Home Automation,['ikea'],,,
Lighting Control System,Home Automation,['philips' 'lutron'],,,
Lighting Controller,Home Automation,['philips' 'lutron'],,,
Lighting Device,Home Automation,['xiaomi'],,,
Lighting Hub,Home Automation,['philips'],,,
Lightswitch,Home Automation,['samsung'],,,
Lutron,Home Automation,['lutron'],,,
Media Controller,Media/TV,['logitech'],,,
Media Converter,Media/TV,['silicondust'],,,
Media Gateway,Media/TV,['amazon' 'logitech' 'google' 'arris' 'directv' 'roku' 'plex'],,,
Media Hub,Media/TV,['amazon' 'apple'],,,
Media Player,Media/TV,"['roku' 'microsoft' 'google' 'fetch' 'sony' 'apple' 'amazon' 'tivo'
 'raspberry-pi' 'dell' 'nvidia' 'sonos' 'western digital'
 'frontier silicon' 'panasonic' 'volumio' 'freebox' 'plex' 'dish']",,,
Media Receiver,Media/TV,['denon'],,,
Media Renderer,Media/TV,['onkyo'],,,
Media Server,Media/TV,"['plex' 'directv' 'raspberry-pi' 'nvidia' 'apple' 'western digital' 'hp'
 'synology']",,,
Media Streamer,Media/TV,"['google' 'apple' 'nvidia' 'roku' 'amazon' 'panasonic' 'arris' 'plex'
 'western digital' 'sonos' 'silicondust']",,,
Media Streaming Device,Media/TV,"['amazon' 'google' 'silicondust' 'nvidia' 'apple' 'roku' 'xiaomi' 'telus'
 'azurewave' 'raspberry-pi' 'directv' 'plex' 'fetch' 'sonos']",,,
MediaRenderer,Media/TV,"['yamaha' 'apple' 'onkyo' 'volumio' 'asus' 'sony' 'samsung' 'phorus'
 'denon' 'microsoft']",,,
MediaRenderer and Spotify Connect,Media/TV,['yamaha' 'onkyo'],,,
"MediaRenderer, Tivo DVR, Spotify Connect",Media/TV,['apple'],,,
MediaServer,Media/TV,['directv'],,,
Mesh Router,Router,['google' 'netgear'],,,
Mesh Wi-Fi System,Router,['linksys'],,,
Mobile Device,Mobile Device ,['apple'],,,
Mobile Phone,Mobile Device ,['huawei' 'oneplus' 'samsung' 'apple'],,,
Motherboard,Computer,['asus'],,,
Motion Sensor,Home Automation,['belkin'],,,
Music Player,Media/TV,['sonos'],,,
Music Streamer,Media/TV,['raspberry-pi'],Computer,,
Nanoleaf Aurora,Home Automation,['nanoleaf'],,,
Netatmo Presence,Surveillance,['netatmo' 'apple'],,,
Netatmo-Presence,Surveillance,['netatmo'],,,
Network Appliance,Router,['ubiquiti'],,,
Network Attached Storage,Storage,['qnap'],,,
Network Attached Storage (NAS),Storage,"['synology' 'western digital' 'qnap' 'iomega' 'dell' 'buffalo' 'plex'
 'cie' 'netgear' 'western' 'dlink' 'linksys' 'microsoft' 'seagate']",,,
Network Audio Player,Media/TV,['marantz'],,,
Network Audio Receiver,Media/TV,['onkyo'],,,
Network Bridge,Router,['sonos'],,,
Network Camera,Surveillance,['amazon' 'hikvision' 'axis' 'netatmo' 'samsung' 'belkin'],,,
Network Gateway,Computer,['raspberry-pi'],,,
Network Monitor,Computer,['raspberry-pi'],,,
Network Monitoring Device,Mobile Device ,['fing'],,,
Network Music Player,Media/TV,['sonos'],,,
Network Router,Router,['technicolor' 'devolo'],,,
Network Security Device,Mobile Device ,['fing'],discard fing,,
Network Server,Computer,['asustek'],,,
Network Storage Device,Storage,['western digital' 'synology' 'buffalo' 'plex'],,,
Network Switch,Router,['amazon' 'hp' 'netgear'],,,
Network TV Tuner,Media/TV,['amazon' 'roku' 'silicondust' 'tivo'],,,
Network Video Recorder,Media/TV,['tivo'],,,
Network Video Recorder (NVR),Media/TV,['amcrest' 'hikvision' 'silicondust'],,,
Networked Audio Device,Media/TV,['sonos'],,,
Networked Media Device,Media/TV,['silicondust'],,,
Networked Media Player,Media/TV,['silicondust'],,,
Networked TV Tuner,Media/TV,['silicondust'],,,
Night Light,Home Automation,['eton'],,,
Notebook,Computer,['lenovo'],,,
OctoPrint,Work Appliance,['octoprint'],Discard,,
Octoprint,Work Appliance,['octoprint'],Discard,,
Outlet,Home Automation,['mystrom'],,,
Oven,Home Appliance ,['miele'],,,
PC,Computer,['dell' 'lg' 'microsoft'],,,
Panasonic VIERA,Media/TV,['panasonic'],,,
Panasonic VIErA,Media/TV,['panasonic'],,,
Philips HUE,Home Automation,['philips'],,,
Philips Hue,Home Automation,['philips'],,,
Philips Hue Bridge,Home Automation,['philips'],,,
Philips hue,Home Automation,['philips'],,,
Philips hue bridge,Home Automation,['philips'],,,
Philips hue bridge 2015,Home Automation,['philips'],,,
Phone,Mobile Device ,['asus' 'apple'],,,
Plex Media Server,Media/TV,['synology' 'plex' 'western digital'],,,
Plex MediaServer,Media/TV,['plex'],,,
Plex_mediaserver,Media/TV,['plex'],,,
Power Monitor,Home Automation,['sense'],,,
Power Strip,Home Automation,['koogeek'],,,
Powerline,Router,['avm'],,,
Powerline Adapter,Router,['avm' 'devolo'],,,
Print Server,Work Appliance,['trendnet'],,,
Printer,Work Appliance,['canon' 'samsung' 'brother' 'hp' 'epson' 'amazon' 'apple'],Amazon/apple printer? ,,
Printer Scanner,Work Appliance,['samsung'],,,
Printer Scanner Fax,Work Appliance,['samsung'],,,
Printer/Scanner,Work Appliance,['hp' 'canon'],,,
Printer/Scanner/Fax/,Work Appliance,['hp'],,,
Radio,Media/TV,['raspberry-pi' 'frontier silicon'],,,
Raspberry Pi,Media/TV,['raspberry-pi' 'roku'],,,
Raspberry Pi B+,Computer,['raspberry-pi'],will be fixed,,
Receiver,Media/TV,['denon' 'yamaha'],,,
Receiver/Amplifier,Media/TV,['sony'],,,
Refrigerator,Home Appliance ,['samsung'],,,
Remote Control,Home Automation,['logitech' 'neeo'],,,
Remote Control Device,Home Automation,['logitech'],,,
Remote Control Hub,Home Automation,['logitech'],,,
Robot Vacuum,Home Automation,['neato' 'irobot'],,,
Robotic Vacuum Cleaner,Home Automation,['xiaomi' 'irobot'],,,
Roku,Media/TV,['roku' 'tcl' 'hisense' 'tplink' 'apple'],,,
Roku Player,Media/TV,['roku'],,,
"Roku Player
Sonos Play:1",Media/TV,['apple'],,,
Roku Premiere+,Media/TV,['roku'],,,
Roku Stick,Media/TV,['roku' 'belkin'],,,
Roku TV,Media/TV,['tcl'],,,
Roku and Spotify Connect,Media/TV,['roku'],,,
Router,Router,"['netgear' 'asus' 'tplink' 'dlink' 'sky' 'google' 'avm' 'synology' 'arris'
 'apple' 'belkin' 'ciscolinksys' 'huawei' 'trendnet' 'cisco' 'linksys']",,,
Router/AP,Router,['avm'],,,
SABNZBD,Computer,['apple'],,,
Samsung Printer,Work Appliance,['samsung'],,,
Samsung TV,Media/TV,['samsung'],,,
Samsung TV and DLNA DMR,Media/TV,['samsung'],,,
Samsung Wireless Audio,Media/TV,['samsung'],,,
Satellite Receiver,Media/TV,['dish' 'arris' 'directv'],,,
Satellite TV Receiver,Media/TV,['technicolor'],,,
Scale,Generic IoT,['withings'],,,
Security Bridge,Home Automation,['konnected'],,,
Security Camera,Surveillance,"['wyze' 'nest' 'hikvision' 'amcrest' 'dlink' 'zmodo' 'ring' 'honeywell'
 'tplink' 'netgear' 'intel' 'ecobee' 'swann' 'axis communications' 'logi'
 'amazon' 'amc' 'netatmo' 'ubiquiti' 'axis' 'belkin' 'logitech'
 'panasonic' 'samsung']",,,
Security Camera Hub,Home Automation,['aqara'],,,
Security Controller,Home Automation,['konnected' 'vivint'],,,
Security Device,Home Automation,['envisacor' 'fing' 'vivint' 'konnected'],discard fing,,
Security Gateway,Home Automation,['envisacor'],,,
Security Hub,Home Automation,['konnected'],,,
Security Interface Module,Home Automation,['envisacor'],,,
Security System,Home Automation,['envisacor' 'honeywell'],,,
Sensor,Home Automation,['belkin'],,,
Sensor Device,Home Automation,['belkin'],,,
Server,Computer,['apple' 'hp' 'dell' 'plex'],,,
Set Top Box,Media/TV,['nvidia'],,,
Set Top Box (STB),Media/TV,['google'],,,
Set-Top Box,Media/TV,['samsung' 'echostar' 'apple' 'nvidia'],,,
Set-Top Box (STB),Media/TV,['roku'],,,
Set-top Box,Media/TV,"['directv' 'arris' 'tivo' 'sky' 'xiaomi' 'dish' 'roku' 'apple' 'freebox'
 'telus' 'google' 'nvidia' 'spotify' 'asus' 'samsung' 'sagemcom' 'humax'
 'swisscom' 'fetch' 'technisat']",,,
Set-top box,Media/TV,['apple' 'roku'],,,
Single Board Computer (SBC),Computer,['raspberry-pi'],,,
Single-Board Computer,Computer,['raspberry-pi'],,,
Single-board computer,Computer,['raspberry-pi' 'texas instruments'],,,
Sleep Tracker,Generic IoT,['withings'],,,
Smart Appliance,Home Automation,['belkin'],,,
Smart Bridge,Home Automation,['philips'],,,
Smart Bulb,Home Automation,['xiaomi' 'lifx' 'yeelight'],,,
Smart Clock,Generic IoT,['lenovo' 'insignia' 'lametric'],,,
Smart Dimmer Switch,Home Automation,['idev'],,,
Smart Display,Voice Assistant,['amazon' 'google' 'lenovo' 'lametric' 'vizio'],change vizio to Media/TV,,
Smart Garage Door Controller,Home Automation,['chamberlain'],,,
Smart Garage Door Opener,Home Automation,['chamberlain'],,,
Smart Home Controller,Home Automation,['brilliant' 'philips' 'amazon' 'lutron' 'logitech' 'wink' 'samsung'],,,
Smart Home Device,Home Automation,"['sense' 'energy' 'belkin' 'logitech' 'apple' 'samsung' 'google' 'philips'
 'parallels' 'ikea' 'ihome' 'netatmo' 'lutron' 'tado' 'koogeek' 'withings'
 'gardena' 'lg']","change withings to Generic-IoT
google hub? voice assistant",,
Smart Home Gateway,Home Automation,['ikea' 'gardena'],,,
Smart Home Hub,Home Automation,"['philips' 'logitech' 'smartthings' 'home' 'ikea' 'wink' 'wyze' 'nuki'
 'oakter' 'aqara' 'lutron' 'belkin' 'google' 'broadlink' 'raspberry-pi'
 'xiaomi' 'tado' 'chamberlain' 'lightwave' 'heatmiser' 'home assistant'
 'myq' 'gardena' 'netatmo' 'netgear' 'idevices' 'samsung']",google hub? voice assistant,,
Smart Home Router,Home Automation,['telldus'],,,
Smart Home Switch,Home Automation,['idev'],,,
Smart Home System,Home Automation,['philips'],,,
Smart Hub,Home Automation,"['tuya' 'philips' 'ikea' 'lutron' 'xiaomi' 'lenovo' 'legrand' 'aqara'
 'logitech']",,,
Smart Irrigation Controller,Generic IoT,['rachio'],,,
Smart Lamp,Home Automation,['xiaomi'],,,
Smart Light,Home Automation,['philips' 'belkin' 'lifx' 'yeelight' 'xiaomi'],,,
Smart Light Bulb,Home Automation,"['tuya' 'belkin' 'tplink' 'yeelight' 'ikea' 'xiaomi' 'lifx' 'koogeek'
 'nanoleaf' 'lutron' 'philips']",,,
Smart Light Hub,Home Automation,['xiaomi' 'ikea' 'lutron'],,,
Smart Light Socket,Home Automation,['koogeek'],,,
Smart Light Switch,Home Automation,['belkin' 'tplink' 'leviton' 'koogeek' 'ecobee' 'mystrom' 'lutron'],,,
Smart Lighting,Home Automation,['nanoleaf' 'philips' 'lifx' 'koogeek' 'vocol' 'xiaomi' 'yeelight'],,,
Smart Lighting Bridge,Home Automation,['belkin'],,,
Smart Lighting Controller,Home Automation,['yeelight' 'vocol' 'koogeek' 'nanoleaf' 'philips'],,,
Smart Lighting Hub,Home Automation,['philips' 'ikea'],,,
Smart Lighting System,Home Automation,['philips' 'ikea'],,,
Smart Lock,Home Automation,['wink'],,,
Smart Monitor,Home Automation,['ihome'],,,
Smart Outlet,Home Automation,['belkin' 'idev' 'ihome' 'idevices' 'koogeek' 'vocol' 'connect'],,,
Smart Outlet Switch,Home Automation,['belkin'],,,
Smart Plug,Home Automation,"['belkin' 'tplink' 'idevices' 'meross' 'amazon' 'emporia' 'oakter'
 'broadlink' 'emporia energy' 'ihome' 'tuya' 'koogeek' 'fibar' 'idev'
 'insignia' 'vocol' 'parce' 'avm']",,,
Smart Plug Strip,Home Automation,['koogeek'],,,
Smart Plug/Switch,Home Automation,['idevices'],,,
Smart Power Strip,Home Automation,['vocol' 'eve'],,,
Smart Power Switch,Home Automation,['belkin' 'idevices'],,,
Smart Remote,Home Automation,['logitech'],,,
Smart Remote Hub,Home Automation,['logitech'],,,
Smart Socket,Home Automation,['belkin'],,,
Smart Speaker,Media/TV,"['amazon' 'sonos' 'google' 'jbl' 'xiaomi' 'bose' 'apple' 'withings'
 'lenovo' 'insignia' 'vizio' 'lg' 'libratone' 'phorus' 'kodi' 'naim audio'
 'bang & olufsen' 'philips']",Smart Speaker of Amazon/Google -> voice assistant,,
Smart Switch,Home Automation,"['belkin' 'tplink' 'leviton' 'itead' 'idev' 'logi' 'mystrom' 'idevices'
 'ecobee' 'koogeek' 'philips' 'brilliant']",,,
Smart TV,Media/TV,"['sony' 'lg' 'samsung' 'roku' 'vizio' 'philips' 'sharp' 'google' 'tcl'
 'apple' 'xiaomi' 'amazon' 'spotify' 'tivo' 'verizon' 'panasonic'
 'oneplus']",,,
Smart TV Controller,Home Automation,['swisscom'],,,
Smart Thermostat,Home Automation,['wiz' 'philips' 'ecobee' 'tado' 'xiaomi'],,,
SmartPlug,Home Automation,['ihome'],,,
Smartphone,Mobile Device ,"['apple' 'samsung' 'huawei' 'google' 'oneplus' 'motorola' 'lg' 'sony'
 'oppo']",,,
Smoke Detector,Home Automation,['nest' 'google' 'first alert'],,,
Sonos,Media/TV,['sonos' 'apple'],,,
Sonos Amp,Media/TV,['sonos'],,,
Sonos Beam,Media/TV,['sonos'],,,
Sonos Boost,Media/TV,['sonos'],,,
Sonos Bridge,Media/TV,['sonos'],,,
Sonos Connect,Media/TV,['sonos'],,,
Sonos Connect:Amp,Media/TV,['sonos'],,,
Sonos One,Media/TV,['sonos'],,,
Sonos One SL,Media/TV,['sonos'],,,
Sonos Play:1,Media/TV,['sonos'],,,
Sonos Play:3,Media/TV,['sonos'],,,
Sonos Play:5,Media/TV,['sonos'],,,
Sonos Playbar,Media/TV,['sonos'],,,
Sonos Playbase,Media/TV,['sonos'],,,
Sonos SYMFONISK,Media/TV,['sonos'],,,
Sonos Sub,Media/TV,['sonos'],,,
Sonos ZP100,Media/TV,['sonos'],,,
Sonos ZP80,Media/TV,['sonos'],,,
Sonos ZonePlayer,Media/TV,['sonos'],,,
